,predict,actual
10-Dec,75.47566,75.44
11-Jan,74.56895,74.27
11-Feb,73.07844,75.07
11-Mar,73.67354,77.47
11-Apr,76.28104,78.4
11-May,77.76566,78.44
11-Jun,77.72009,79.46
11-Jul,78.54051,80.15
11-Aug,79.023056,80.71
11-Sep,79.17141,81.36
11-Oct,79.74534,81.82
11-Nov,80.10872,82.09
11-Dec,80.49153,82.8
12-Jan,81.338264,82.63999
12-Feb,80.84583,82.25
12-Mar,80.197014,82.88
12-Apr,81.231064,83.16001
12-May,82.04304,83.89
12-Jun,82.725235,84.69
12-Jul,83.26348,85.11001
12-Aug,83.72151,84.98999
12-Sep,83.66143,85.68
12-Oct,84.4145,85.31
12-Nov,84.03889,85.2
12-Dec,83.91635,86.100006
13-Jan,84.95631,86.62999
13-Feb,85.29332,87.01
13-Mar,85.48687,86.99
13-Apr,85.7664,87.11
13-May,86.2964,87.55001
13-Jun,86.80795,87.44
13-Jul,86.552055,87.57
13-Aug,86.60939,87.740005
13-Sep,86.7103,88.31
13-Oct,87.30431,88.56
13-Nov,87.53277,88.2
13-Dec,87.08628,88.14001
14-Jan,87.047195,87.62
14-Feb,86.22289,87.27
14-Mar,85.75558,87.26
14-Apr,85.88552,87.399994
14-May,86.32637,86.100006
14-Jun,84.97648,85.45
14-Jul,84.20545,85.56
14-Aug,84.03076,84.87
14-Sep,83.21093,83.97
14-Oct,82.229385,83.43
14-Nov,81.613,82.87
14-Dec,80.98101,82.04
15-Jan,80.134056,80.92
15-Feb,79.15431,79.270004
15-Mar,77.987076,79.15
15-Apr,78.42175,77.95
15-May,77.649216,76.78
15-Jun,76.73898,75.46
15-Jul,75.46612,74.4
15-Aug,74.356766,72.6
15-Sep,72.52545,70.83
15-Oct,70.97866,69.7
15-Nov,70.05304,68.42
15-Dec,68.91217,67.31
16-Jan,67.982635,64.93
16-Feb,65.957634,63.83
16-Mar,65.173355,63.49
16-Apr,65.220245,62.49
16-May,64.5842,61.37
16-Jun,63.72744,59.680004
16-Jul,62.379272,59.24
16-Aug,61.89414,58.1
16-Sep,60.879845,57.43
16-Oct,60.297993,56.929996
16-Nov,59.876877,55.75
16-Dec,58.814064,55.169994
17-Jan,58.28326,54.84
17-Feb,57.755802,55.34
17-Mar,57.95858,55.87
17-Apr,58.422085,56.32
17-May,58.90726,56.449997
17-Jun,58.9658,56.820004
17-Jul,59.060257,57.83
17-Aug,59.770382,57.65
17-Sep,59.61896,57.69
17-Oct,59.720272,57.03
17-Nov,59.202,57.74
17-Dec,59.840683,58.5
18-Jan,60.405617,57.7
18-Feb,59.59496,58.2
18-Mar,59.791965,58.320004
18-Apr,60.048424,58.4
18-May,60.288948,60.55
18-Jun,62.06724,61.81
18-Jul,63.02637,61.88
18-Aug,62.936096,61.88
18-Sep,62.87993,62.96
18-Oct,63.847923,63.3
18-Nov,64.1308,63.68
18-Dec,64.417015,64.77
19-Jan,65.34609,65.68
19-Feb,66.034386,66.21
19-Mar,66.445435,66.79
19-Apr,67.129486,67.28
19-May,67.69733,67.75
19-Jun,68.03463,68.96
19-Jul,69.01783,69.75
19-Aug,69.723915,69.74
19-Sep,69.74003,70.55
19-Oct,70.60095,70.4
19-Nov,70.49,
